  instrument   id full_name name_in_raft raft  purpose 
------------- --- --------- ------------ ---- ---------
       LATISS   0   RXX_S00      RXX_S00 None   SCIENCE
      LSSTCam   0   R01_S00          S00  R01   SCIENCE
      LSSTCam   1   R01_S01          S01  R01   SCIENCE
      LSSTCam   2   R01_S02          S02  R01   SCIENCE
      LSSTCam   3   R01_S10          S10  R01   SCIENCE
      LSSTCam   4   R01_S11          S11  R01   SCIENCE
      LSSTCam   5   R01_S12          S12  R01   SCIENCE
      LSSTCam   6   R01_S20          S20  R01   SCIENCE
      LSSTCam   7   R01_S21          S21  R01   SCIENCE
      LSSTCam   8   R01_S22          S22  R01   SCIENCE
      LSSTCam   9   R02_S00          S00  R02   SCIENCE
      LSSTCam  10   R02_S01          S01  R02   SCIENCE
      LSSTCam  11   R02_S02          S02  R02   SCIENCE
      LSSTCam  12   R02_S10          S10  R02   SCIENCE
      LSSTCam  13   R02_S11          S11  R02   SCIENCE
      LSSTCam  14   R02_S12          S12  R02   SCIENCE
      LSSTCam  15   R02_S20          S20  R02   SCIENCE
      LSSTCam  16   R02_S21          S21  R02   SCIENCE
      LSSTCam  17   R02_S22          S22  R02   SCIENCE
      LSSTCam  18   R03_S00          S00  R03   SCIENCE
      LSSTCam  19   R03_S01          S01  R03   SCIENCE
      LSSTCam  20   R03_S02          S02  R03   SCIENCE
      LSSTCam  21   R03_S10          S10  R03   SCIENCE
      LSSTCam  22   R03_S11          S11  R03   SCIENCE
      LSSTCam  23   R03_S12          S12  R03   SCIENCE
      LSSTCam  24   R03_S20          S20  R03   SCIENCE
      LSSTCam  25   R03_S21          S21  R03   SCIENCE
      LSSTCam  26   R03_S22          S22  R03   SCIENCE
      LSSTCam  27   R10_S00          S00  R10   SCIENCE
      LSSTCam  28   R10_S01          S01  R10   SCIENCE
      LSSTCam  29   R10_S02          S02  R10   SCIENCE
      LSSTCam  30   R10_S10          S10  R10   SCIENCE
      LSSTCam  31   R10_S11          S11  R10   SCIENCE
      LSSTCam  32   R10_S12          S12  R10   SCIENCE
      LSSTCam  33   R10_S20          S20  R10   SCIENCE
      LSSTCam  34   R10_S21          S21  R10   SCIENCE
      LSSTCam  35   R10_S22          S22  R10   SCIENCE
      LSSTCam  36   R11_S00          S00  R11   SCIENCE
      LSSTCam  37   R11_S01          S01  R11   SCIENCE
      LSSTCam  38   R11_S02          S02  R11   SCIENCE
      LSSTCam  39   R11_S10          S10  R11   SCIENCE
      LSSTCam  40   R11_S11          S11  R11   SCIENCE
      LSSTCam  41   R11_S12          S12  R11   SCIENCE
      LSSTCam  42   R11_S20          S20  R11   SCIENCE
      LSSTCam  43   R11_S21          S21  R11   SCIENCE
      LSSTCam  44   R11_S22          S22  R11   SCIENCE
      LSSTCam  45   R12_S00          S00  R12   SCIENCE
      LSSTCam  46   R12_S01          S01  R12   SCIENCE
      LSSTCam  47   R12_S02          S02  R12   SCIENCE
      LSSTCam  48   R12_S10          S10  R12   SCIENCE
      LSSTCam  49   R12_S11          S11  R12   SCIENCE
      LSSTCam  50   R12_S12          S12  R12   SCIENCE
      LSSTCam  51   R12_S20          S20  R12   SCIENCE
      LSSTCam  52   R12_S21          S21  R12   SCIENCE
      LSSTCam  53   R12_S22          S22  R12   SCIENCE
      LSSTCam  54   R13_S00          S00  R13   SCIENCE
      LSSTCam  55   R13_S01          S01  R13   SCIENCE
      LSSTCam  56   R13_S02          S02  R13   SCIENCE
      LSSTCam  57   R13_S10          S10  R13   SCIENCE
      LSSTCam  58   R13_S11          S11  R13   SCIENCE
      LSSTCam  59   R13_S12          S12  R13   SCIENCE
      LSSTCam  60   R13_S20          S20  R13   SCIENCE
      LSSTCam  61   R13_S21          S21  R13   SCIENCE
      LSSTCam  62   R13_S22          S22  R13   SCIENCE
      LSSTCam  63   R14_S00          S00  R14   SCIENCE
      LSSTCam  64   R14_S01          S01  R14   SCIENCE
      LSSTCam  65   R14_S02          S02  R14   SCIENCE
      LSSTCam  66   R14_S10          S10  R14   SCIENCE
      LSSTCam  67   R14_S11          S11  R14   SCIENCE
      LSSTCam  68   R14_S12          S12  R14   SCIENCE
      LSSTCam  69   R14_S20          S20  R14   SCIENCE
      LSSTCam  70   R14_S21          S21  R14   SCIENCE
      LSSTCam  71   R14_S22          S22  R14   SCIENCE
      LSSTCam  72   R20_S00          S00  R20   SCIENCE
      LSSTCam  73   R20_S01          S01  R20   SCIENCE
      LSSTCam  74   R20_S02          S02  R20   SCIENCE
      LSSTCam  75   R20_S10          S10  R20   SCIENCE
      LSSTCam  76   R20_S11          S11  R20   SCIENCE
      LSSTCam  77   R20_S12          S12  R20   SCIENCE
      LSSTCam  78   R20_S20          S20  R20   SCIENCE
      LSSTCam  79   R20_S21          S21  R20   SCIENCE
      LSSTCam  80   R20_S22          S22  R20   SCIENCE
      LSSTCam  81   R21_S00          S00  R21   SCIENCE
      LSSTCam  82   R21_S01          S01  R21   SCIENCE
      LSSTCam  83   R21_S02          S02  R21   SCIENCE
      LSSTCam  84   R21_S10          S10  R21   SCIENCE
      LSSTCam  85   R21_S11          S11  R21   SCIENCE
      LSSTCam  86   R21_S12          S12  R21   SCIENCE
      LSSTCam  87   R21_S20          S20  R21   SCIENCE
      LSSTCam  88   R21_S21          S21  R21   SCIENCE
      LSSTCam  89   R21_S22          S22  R21   SCIENCE
      LSSTCam  90   R22_S00          S00  R22   SCIENCE
      LSSTCam  91   R22_S01          S01  R22   SCIENCE
      LSSTCam  92   R22_S02          S02  R22   SCIENCE
      LSSTCam  93   R22_S10          S10  R22   SCIENCE
      LSSTCam  94   R22_S11          S11  R22   SCIENCE
      LSSTCam  95   R22_S12          S12  R22   SCIENCE
      LSSTCam  96   R22_S20          S20  R22   SCIENCE
      LSSTCam  97   R22_S21          S21  R22   SCIENCE
      LSSTCam  98   R22_S22          S22  R22   SCIENCE
      LSSTCam  99   R23_S00          S00  R23   SCIENCE
      LSSTCam 100   R23_S01          S01  R23   SCIENCE
      LSSTCam 101   R23_S02          S02  R23   SCIENCE
      LSSTCam 102   R23_S10          S10  R23   SCIENCE
      LSSTCam 103   R23_S11          S11  R23   SCIENCE
      LSSTCam 104   R23_S12          S12  R23   SCIENCE
      LSSTCam 105   R23_S20          S20  R23   SCIENCE
      LSSTCam 106   R23_S21          S21  R23   SCIENCE
      LSSTCam 107   R23_S22          S22  R23   SCIENCE
      LSSTCam 108   R24_S00          S00  R24   SCIENCE
      LSSTCam 109   R24_S01          S01  R24   SCIENCE
      LSSTCam 110   R24_S02          S02  R24   SCIENCE
      LSSTCam 111   R24_S10          S10  R24   SCIENCE
      LSSTCam 112   R24_S11          S11  R24   SCIENCE
      LSSTCam 113   R24_S12          S12  R24   SCIENCE
      LSSTCam 114   R24_S20          S20  R24   SCIENCE
      LSSTCam 115   R24_S21          S21  R24   SCIENCE
      LSSTCam 116   R24_S22          S22  R24   SCIENCE
      LSSTCam 117   R30_S00          S00  R30   SCIENCE
      LSSTCam 118   R30_S01          S01  R30   SCIENCE
      LSSTCam 119   R30_S02          S02  R30   SCIENCE
      LSSTCam 120   R30_S10          S10  R30   SCIENCE
      LSSTCam 121   R30_S11          S11  R30   SCIENCE
      LSSTCam 122   R30_S12          S12  R30   SCIENCE
      LSSTCam 123   R30_S20          S20  R30   SCIENCE
      LSSTCam 124   R30_S21          S21  R30   SCIENCE
      LSSTCam 125   R30_S22          S22  R30   SCIENCE
      LSSTCam 126   R31_S00          S00  R31   SCIENCE
      LSSTCam 127   R31_S01          S01  R31   SCIENCE
      LSSTCam 128   R31_S02          S02  R31   SCIENCE
      LSSTCam 129   R31_S10          S10  R31   SCIENCE
      LSSTCam 130   R31_S11          S11  R31   SCIENCE
      LSSTCam 131   R31_S12          S12  R31   SCIENCE
      LSSTCam 132   R31_S20          S20  R31   SCIENCE
      LSSTCam 133   R31_S21          S21  R31   SCIENCE
      LSSTCam 134   R31_S22          S22  R31   SCIENCE
      LSSTCam 135   R32_S00          S00  R32   SCIENCE
      LSSTCam 136   R32_S01          S01  R32   SCIENCE
      LSSTCam 137   R32_S02          S02  R32   SCIENCE
      LSSTCam 138   R32_S10          S10  R32   SCIENCE
      LSSTCam 139   R32_S11          S11  R32   SCIENCE
      LSSTCam 140   R32_S12          S12  R32   SCIENCE
      LSSTCam 141   R32_S20          S20  R32   SCIENCE
      LSSTCam 142   R32_S21          S21  R32   SCIENCE
      LSSTCam 143   R32_S22          S22  R32   SCIENCE
      LSSTCam 144   R33_S00          S00  R33   SCIENCE
      LSSTCam 145   R33_S01          S01  R33   SCIENCE
      LSSTCam 146   R33_S02          S02  R33   SCIENCE
      LSSTCam 147   R33_S10          S10  R33   SCIENCE
      LSSTCam 148   R33_S11          S11  R33   SCIENCE
      LSSTCam 149   R33_S12          S12  R33   SCIENCE
      LSSTCam 150   R33_S20          S20  R33   SCIENCE
      LSSTCam 151   R33_S21          S21  R33   SCIENCE
      LSSTCam 152   R33_S22          S22  R33   SCIENCE
      LSSTCam 153   R34_S00          S00  R34   SCIENCE
      LSSTCam 154   R34_S01          S01  R34   SCIENCE
      LSSTCam 155   R34_S02          S02  R34   SCIENCE
      LSSTCam 156   R34_S10          S10  R34   SCIENCE
      LSSTCam 157   R34_S11          S11  R34   SCIENCE
      LSSTCam 158   R34_S12          S12  R34   SCIENCE
      LSSTCam 159   R34_S20          S20  R34   SCIENCE
      LSSTCam 160   R34_S21          S21  R34   SCIENCE
      LSSTCam 161   R34_S22          S22  R34   SCIENCE
      LSSTCam 162   R41_S00          S00  R41   SCIENCE
      LSSTCam 163   R41_S01          S01  R41   SCIENCE
      LSSTCam 164   R41_S02          S02  R41   SCIENCE
      LSSTCam 165   R41_S10          S10  R41   SCIENCE
      LSSTCam 166   R41_S11          S11  R41   SCIENCE
      LSSTCam 167   R41_S12          S12  R41   SCIENCE
      LSSTCam 168   R41_S20          S20  R41   SCIENCE
      LSSTCam 169   R41_S21          S21  R41   SCIENCE
      LSSTCam 170   R41_S22          S22  R41   SCIENCE
      LSSTCam 171   R42_S00          S00  R42   SCIENCE
      LSSTCam 172   R42_S01          S01  R42   SCIENCE
      LSSTCam 173   R42_S02          S02  R42   SCIENCE
      LSSTCam 174   R42_S10          S10  R42   SCIENCE
      LSSTCam 175   R42_S11          S11  R42   SCIENCE
      LSSTCam 176   R42_S12          S12  R42   SCIENCE
      LSSTCam 177   R42_S20          S20  R42   SCIENCE
      LSSTCam 178   R42_S21          S21  R42   SCIENCE
      LSSTCam 179   R42_S22          S22  R42   SCIENCE
      LSSTCam 180   R43_S00          S00  R43   SCIENCE
      LSSTCam 181   R43_S01          S01  R43   SCIENCE
      LSSTCam 182   R43_S02          S02  R43   SCIENCE
      LSSTCam 183   R43_S10          S10  R43   SCIENCE
      LSSTCam 184   R43_S11          S11  R43   SCIENCE
      LSSTCam 185   R43_S12          S12  R43   SCIENCE
      LSSTCam 186   R43_S20          S20  R43   SCIENCE
      LSSTCam 187   R43_S21          S21  R43   SCIENCE
      LSSTCam 188   R43_S22          S22  R43   SCIENCE
      LSSTCam 189   R00_SG0          SG0  R00    GUIDER
      LSSTCam 190   R00_SG1          SG1  R00    GUIDER
      LSSTCam 191   R00_SW0          SW0  R00 WAVEFRONT
      LSSTCam 192   R00_SW1          SW1  R00 WAVEFRONT
      LSSTCam 193   R04_SG0          SG0  R04    GUIDER
      LSSTCam 194   R04_SG1          SG1  R04    GUIDER
      LSSTCam 195   R04_SW0          SW0  R04 WAVEFRONT
      LSSTCam 196   R04_SW1          SW1  R04 WAVEFRONT
      LSSTCam 197   R40_SG0          SG0  R40    GUIDER
      LSSTCam 198   R40_SG1          SG1  R40    GUIDER
      LSSTCam 199   R40_SW0          SW0  R40 WAVEFRONT
      LSSTCam 200   R40_SW1          SW1  R40 WAVEFRONT
      LSSTCam 201   R44_SG0          SG0  R44    GUIDER
      LSSTCam 202   R44_SG1          SG1  R44    GUIDER
      LSSTCam 203   R44_SW0          SW0  R44 WAVEFRONT
